Job Title,Company,Date,Type,Location,Skills,Job Link
Data Governance & Data Management Architect,Advanced control,posted 8 days ago,Full Time,"6th of October, Giza","IT/Software Development, Analyst/Research, Data Governance Frameworks, Data Management & Architecture, Data Management, Data Catalog & Metadata Management, Data Lineage & Data Quality Tools, Computer Science, Regulatory Compliance (NDMO / PDPL / GDPR), NDMO",http://wuzzuf.net/jobs/p/qs26cvsh4yyk-data-governance-data-management-architect-advanced-control-giza-egypt
Senior Business Analyst,DAF Holding,posted 2 months ago,Full Time,"Cairo, Egypt","IT/Software Development, Business process analysis, Digital transformation, Agile methodologies",http://wuzzuf.net/jobs/p/fzivdlpfco3v-senior-business-analyst-daf-holding-cairo-egypt
FP&A Senior Analyst,Valmore Holding,posted 2 months ago,Full Time,"New Cairo, Cairo","Accounting/Finance, Financial Planning & Analysis, Budgeting and Forecasting, Financial Modeling, Management Reporting, ERP Systems",http://wuzzuf.net/jobs/p/oo0tjhybq8y6-fpa-senior-analyst-valmore-holding-cairo-egypt
Financial Analyst – Feasibility & Investment Evaluation,Tahya Masr Holding,posted 2 months ago,Full Time,"Heliopolis, Cairo","Accounting/Finance, Financial Analysis, Feasibility Studies, Project Evaluation, Investment Analysis, Financial Modeling, Business Valuation, Cash Flow Analysis, Scenario & Sensitivity Analysis, Financial Reporting, Presentation & Reporting Skills, Microsoft Excel (Advanced), Financial Models (Excel-based), Microsoft Powerpoint, Microsoft Word, CFA, CMA, Cash Flow Forecasting",http://wuzzuf.net/jobs/p/dh6nxzowtpoi-financial-analyst-feasibility-investment-evaluation-tahya-masr-holding-cairo-egypt
Senior Financial Analyst (FP&A),GlassRock Insulation Co.,posted 2 months ago,Full Time,"Maadi, Cairo","Accounting/Finance, Analyst/Research, Financial Analysis, Financial Modeling, Microsoft Excel, Finance, Financial Services, Financial Accounting, Finance Analysis",http://wuzzuf.net/jobs/p/hgvqvv71ajlf-senior-financial-analyst-fpa-glassrock-insulation-co-cairo-egypt
Microsoft Business Analyst/CRM/PowerPlatform Expert,Teaspoon,posted 2 months ago,Full Time,"San Jose, United States","IT/Software Development, Microsoft Power BI, Microsoft Azure, Reporting, Reporting Analysis, Microsoft Office 365, Microsoft Dynamics CRM, Microsoft PowerPlatform, Microsoft PowerApps",http://wuzzuf.net/jobs/p/qpielqllgmq4-microsoft-business-analystcrmpowerplatform-expert-teaspoon-san-jose-united-states
AI & Data Science Engineer,Raya Distribution,posted 26 days ago,Full Time,"Cairo, Egypt","IT/Software Development, Engineering - Telecom/Technology, AI, Computer Engineering, Computer Science, Data Science, Information Technology (IT), Software Engineering, Python, SQL, C#, Big Data, .Net",http://wuzzuf.net/jobs/p/r1yxretv7hyo-ai-data-science-engineer-raya-distribution-cairo-egypt
Personnel & Payroll Specialist,Shiny White Dental Cente,posted 25 days ago,Full Time,"Cairo, Egypt","Administration, Human Resources, Analyst/Research, Human Resources, Human Resource Management (HRM), HR Policies, Payroll Administration, Payroll, Human Resource Management, Human Resource Information System, hr analyst, Oracle Human Resource Management System (HRMS), Human Resources Development, HR Specialist, Personnel Management, Payroll Management, Payroll System, Personnel Administration, HR Admin, Personnel, HR Strategy, HR",http://wuzzuf.net/jobs/p/2i4r5tdebq8k-personnel-payroll-specialist-shiny-white-dental-center-cairo-egypt
Financial and Credit Analyst,شركه اداره وجوده لخدمات,posted 2 months ago,Full Time,"Riyadh, Saudi Arabia","Accounting/Finance, تقييم المخاطر, إعداد التقارير المالية, التحليل المالي, التخطيط المالي, إعداد الميزانيات",http://wuzzuf.net/saudi/jobs/p/m8pa48qv2vfn-financial-and-credit-analyst-shrkh-adarh-ogodh-lkhdmat-alaaamal-riyadh-saudi-arabia
Marketing Specialist,MY WAY,posted 1 month ago,Full Time,"Obour City, Cairo","Marketing/PR/Advertising, Marketing Specialist, Marketing Coordinator, Brand Assistant, Marketing Analyst, MS Office, Presentations",http://wuzzuf.net/jobs/p/bq21nx4azucw-marketing-specialist-my-way-cairo-egypt
